group,name,metric,mean,ci_lower,ci_upper,n,bootstrap_n,seed
ablation,without_de_optimization,RouteAcc,0.6076666666666667,0.5893333333333334,0.625,3000,1000,42
ablation,without_de_optimization,HRR,0.8163620539599652,0.7998259355961705,0.8315926892950392,2298,1000,42
ablation,without_de_optimization,URR,0.0,0.0,0.0,3000,1000,42
ablation,without_de_optimization,UCR,0.0,0.0,0.0,3000,1000,42
ablation,without_de_optimization,RC,0.589,0.6295512277730737,0.6786015164279696,3000,1000,42
ablation,without_guard,RouteAcc,0.6076666666666667,0.5913333333333334,0.6246666666666667,3000,1000,42
ablation,without_guard,HRR,0.8163620539599652,0.799390774586597,0.8324630113141862,2298,1000,42
ablation,without_guard,URR,0.0,0.0,0.0,3000,1000,42
ablation,without_guard,UCR,0.0,0.0,0.0,3000,1000,42
ablation,without_guard,RC,0.589,0.630397967823878,0.6782094594594594,3000,1000,42
ablation,without_input_normalization,RouteAcc,0.6076666666666667,0.59,0.625,3000,1000,42
ablation,without_input_normalization,HRR,0.8163620539599652,0.8011314186248912,0.8315926892950392,2298,1000,42
ablation,without_input_normalization,URR,0.0,0.0,0.0,3000,1000,42
ablation,without_input_normalization,UCR,0.0,0.0,0.0,3000,1000,42
ablation,without_input_normalization,RC,0.589,0.6285834738617201,0.676581483033096,3000,1000,42
ablation,without_low_evidence,RouteAcc,0.6076666666666667,0.5913333333333334,0.6243333333333333,3000,1000,42
ablation,without_low_evidence,HRR,0.8163620539599652,0.8011314186248912,0.8324630113141862,2298,1000,42
ablation,without_low_evidence,URR,0.0,0.0,0.0,3000,1000,42
ablation,without_low_evidence,UCR,0.0,0.0,0.0,3000,1000,42
ablation,without_low_evidence,RC,0.589,0.6283298097251586,0.6779089376053963,3000,1000,42
ablation,without_multi_intent,RouteAcc,0.067,0.058333333333333334,0.07566666666666666,3000,1000,42
ablation,without_multi_intent,HRR,0.0,0.0,0.0,2298,1000,42
ablation,without_multi_intent,URR,0.0,0.0,0.0,3000,1000,42
ablation,without_multi_intent,UCR,0.0,0.0,0.0,3000,1000,42
ablation,without_multi_intent,RC,1.0,1.0,1.0,3000,1000,42
ablation,without_negation,RouteAcc,0.6076666666666667,0.59,0.6263333333333333,3000,1000,42
ablation,without_negation,HRR,0.825065274151436,0.8093994778067886,0.8407310704960835,2298,1000,42
ablation,without_negation,URR,0.0,0.0,0.0,3000,1000,42
ablation,without_negation,UCR,0.0,0.0,0.0,3000,1000,42
ablation,without_negation,RC,0.582,0.6203389830508474,0.6715976331360947,3000,1000,42
ablation,without_protocol_gate,RouteAcc,0.6076666666666667,0.5896666666666667,0.6256666666666667,3000,1000,42
ablation,without_protocol_gate,HRR,0.6671018276762402,0.6488250652741514,0.6858137510879025,2298,1000,42
ablation,without_protocol_gate,URR,0.0,0.0,0.0,3000,1000,42
ablation,without_protocol_gate,UCR,0.0,0.0,0.0,3000,1000,42
ablation,without_protocol_gate,RC,0.912,0.9158918005071851,0.9358221476510067,3000,1000,42
ablation,without_safety_rerank,RouteAcc,0.6076666666666667,0.59,0.6253333333333333,3000,1000,42
ablation,without_safety_rerank,HRR,0.8163620539599652,0.8002610966057441,0.8320278503046127,2298,1000,42
