method,perturbation_type,num_cases,RouteAcc,ProtocolAcc,PrimaryIntentAcc,HRR,HMR,URR,UCR,RC,ClarificationAcc,avg_latency_ms,p95_latency_ms,avg_response_length
vanilla-rag,filler_noise,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,43.229712700143864,102.79370000353083,23.871
vanilla-rag,long_context,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,29.446131899945613,35.73419999884209,24.947
vanilla-rag,repetition,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,29.490682099982223,44.2302999945241,24.617
rag-guard,filler_noise,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,43.216115599854675,103.52670000429498,23.871
rag-guard,long_context,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,29.191397399888956,35.39769999770215,24.947
rag-guard,repetition,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,29.33170060005068,42.097000005014706,24.617
hsc-rag-manual,filler_noise,1000,0.549,0.136,0.549,0.9321148825065274,0.06788511749347259,0.0,0.0,0.0,0.9402985074626866,5.795372600019618,7.35990000248421,22.471
hsc-rag-manual,long_context,1000,0.549,0.132,0.549,0.7010443864229765,0.2989556135770235,0.0,0.0,0.0,1.0,26.941387500060955,36.36189999815542,22.081
hsc-rag-manual,repetition,1000,0.725,0.152,0.725,0.8159268929503917,0.18407310704960833,0.0,0.0,0.0,1.0,14.148987200052943,33.78979999979492,22.307
hsc-rag-de,filler_noise,1000,0.549,0.136,0.549,0.9321148825065274,0.06788511749347259,0.0,0.0,0.0,0.9402985074626866,5.819761500133609,7.579999997687992,22.471
hsc-rag-de,long_context,1000,0.549,0.132,0.549,0.7010443864229765,0.2989556135770235,0.0,0.0,0.0,1.0,26.93300669999735,36.44390000408748,21.929
hsc-rag-de,repetition,1000,0.725,0.152,0.725,0.8159268929503917,0.18407310704960833,0.0,0.0,0.0,1.0,14.15482130003511,33.7223999958951,22.307
